DEBUG: General     , 1759712274657> 17,385,802,747> LoggerManager.init                  > Initializing...
LOG  : General     , 1759712274679> 17,385,802,765> cachedir set to "/home/linuxgsm/Zomboid"
LOG  : General     , 1759712274717> 17,385,802,803> version=41.78.16 demo=false
LOG  : General     , 1759712274718> 17,385,802,803> revision= date= time=
LOG  : General     , 1759712274718> 17,385,802,803> unknown option "--ip"
LOG  : General     , 1759712274718> 17,385,802,804> unknown option "172.20.2.2"
LOG  : General     , 1759712274719> 17,385,802,805> unknown option "-Xmx8192M"
LOG  : General     , 1759712274719> 17,385,802,805> server name is "pzserver"
LOG  : General     , 1759712274720> 17,385,802,805> checking server WorldVersion in map_t.bin
LOG  : General     , 1759712274720> 17,385,802,806> Loading networking libraries...
LOG  : General     , 1759712274721> 17,385,802,806> Loading steam_api...
LOG  : General     , 1759712274721> 17,385,802,806> Loading RakNet64...
LOG  : General     , 1759712274722> 17,385,802,807> Loading ZNetJNI64...
LOG  : Network     , 1759712274723> 17,385,802,808> [06-10-25 00:57:54.722] > ZNet: SetLogLevel 2
LOG  : Network     , 1759712274723> 17,385,802,809> [06-10-25 00:57:54.723] > ZNet: SteamAPI initialised successfully
LOG  : General     , 1759712274724> 17,385,802,809> SteamUtils initialised successfully
LOG  : General     , 1759712274980> 17,385,803,065> translator: language is EN
LOG  : General     , 1759712275055> 17,385,803,140> LightingFPS set to 15
LOG  : General     , 1759712275066> 17,385,803,151> reading /home/linuxgsm/Zomboid/Server/pzserver.ini
LOG  : General     , 1759712275067> 17,385,803,152> writing /home/linuxgsm/Zomboid/Server/pzserver.ini
LOG  : Network     , 1759712275072> 17,385,803,158> [06-10-25 00:57:55.072] > ZNet: SZombienet -> SZombienet: Init
LOG  : Network     , 1759712275094> 17,385,803,180> [06-10-25 00:57:55.094] > ZNet: SteamGameServer seems to be initialized
LOG  : Network     , 1759712275095> 17,385,803,181> [06-10-25 00:57:55.095] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : General     , 1759712275098> 17,385,803,183> Waiting for response from Steam servers
LOG  : Network     , 1759712275699> 17,385,803,784> [06-10-25 00:57:55.698] > ZNet: SSteamSDK -> SZombienet: OnSteamServersConnected
LOG  : Network     , 1759712275699> 17,385,803,785> [06-10-25 00:57:55.699] > ZNet: OnSteamServersConnected
LOG  : Network     , 1759712275699> 17,385,803,785> [06-10-25 00:57:55.699] > ZNet: SZombienet -> SSteamSDK: SetMaxPlayerCount
LOG  : Network     , 1759712275700> 17,385,803,785> [06-10-25 00:57:55.700] > ZNet: Public IP: 208.75.182.167
LOG  : Network     , 1759712275867> 17,385,803,952> [06-10-25 00:57:55.866] > ZNet: SSteamSDK -> SZombienet: OnPolicyResponse
LOG  : Network     , 1759712275867> 17,385,803,953> [06-10-25 00:57:55.867] > ZNet: OnPolicyResponse
LOG  : Network     , 1759712275867> 17,385,803,953> [06-10-25 00:57:55.867] > ZNet: SZombienet -> SSteamSDK: BSecure
LOG  : Network     , 1759712275867> 17,385,803,953> [06-10-25 00:57:55.867] > ZNet: Zomboid Server is VAC Secure
LOG  : General     , 1759712276003> 17,385,804,089> Workshop: onItemQueryCompleted handle=1 numResult=61
LOG  : General     , 1759712276007> 17,385,804,093> Workshop: GetItemState()=Installed ID=1938484133
LOG  : General     , 1759712276009> 17,385,804,095> Workshop: item state CheckItemState -> Ready ID=1938484133
LOG  : General     , 1759712276010> 17,385,804,095> Workshop: GetItemState()=Installed ID=2169435993
LOG  : General     , 1759712276010> 17,385,804,095> Workshop: item state CheckItemState -> Ready ID=2169435993
LOG  : General     , 1759712276010> 17,385,804,095> Workshop: GetItemState()=Installed ID=2195155059
LOG  : General     , 1759712276010> 17,385,804,096> Workshop: item state CheckItemState -> Ready ID=2195155059
LOG  : General     , 1759712276010> 17,385,804,096> Workshop: GetItemState()=Installed ID=2200148440
LOG  : General     , 1759712276010> 17,385,804,096> Workshop: item state CheckItemState -> Ready ID=2200148440
LOG  : General     , 1759712276010> 17,385,804,096> Workshop: GetItemState()=Installed ID=2282429356
LOG  : General     , 1759712276011> 17,385,804,096> Workshop: item state CheckItemState -> Ready ID=2282429356
LOG  : General     , 1759712276011> 17,385,804,096> Workshop: GetItemState()=Installed ID=2392709985
LOG  : General     , 1759712276011> 17,385,804,096> Workshop: item state CheckItemState -> Ready ID=2392709985
LOG  : General     , 1759712276011> 17,385,804,096> Workshop: GetItemState()=Installed ID=2297098490
LOG  : General     , 1759712276011> 17,385,804,096> Workshop: item state CheckItemState -> Ready ID=2297098490
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: GetItemState()=Installed ID=2366717227
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: item state CheckItemState -> Ready ID=2366717227
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: GetItemState()=Installed ID=2529746725
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: item state CheckItemState -> Ready ID=2529746725
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: GetItemState()=Installed ID=2409333430
LOG  : General     , 1759712276011> 17,385,804,097> Workshop: item state CheckItemState -> Ready ID=2409333430
LOG  : General     , 1759712276012> 17,385,804,097> Workshop: GetItemState()=Installed ID=3171167894
LOG  : General     , 1759712276012> 17,385,804,097> Workshop: item state CheckItemState -> Ready ID=3171167894
LOG  : General     , 1759712276012> 17,385,804,097> Workshop: GetItemState()=Installed ID=2423906082
LOG  : General     , 1759712276012> 17,385,804,098> Workshop: item state CheckItemState -> Ready ID=2423906082
LOG  : General     , 1759712276012> 17,385,804,098> Workshop: GetItemState()=Installed ID=2460154811
